RR,FR,T,H2
20,0.05,923,0
0,0.05,923,0
20,5,923,0
0,5,923,0
20,2.525,673,0
0,2.525,673,0
20,2.525,1173,0
0,2.525,1173,0
10,0.05,673,0.00363353
10,5,673,0.042293066
10,0.05,1173,0.059986967
10,5,1173,4.512400632
10,2.525,923,1.518100861
10,1.2875,798,0.284968153
10,3.7625,798,0.452989659
10,1.2875,1048,1.525508884
10,3.7625,1048,3.00554621
15,1.2875,798,0.380982755
15,3.7625,798,0.875030539
15,1.2875,1048,0.638508573
15,3.7625,1048,2.502981134
5,1.2875,798,0.174668682
5,3.7625,798,0.566502394
5,1.2875,1048,0.259323895
5,3.7625,1048,1.156569712
